,symb,type,price,qty
53,ETHBRL,bids,24492.73,0.0554
54,ETHBRL,bids,24470.94,0.0009
55,ETHBRL,bids,24459.69,0.0017
56,ETHBRL,bids,24450.0,0.0409
57,ETHBRL,bids,24445.0,0.0512
58,ETHBRL,bids,24444.78,0.0009
59,ETHBRL,bids,24440.0,0.2045
60,ETHBRL,bids,24436.37,0.0012
61,ETHBRL,bids,24418.66,0.0008
62,ETHBRL,bids,24418.65,0.0009
63,ETHBRL,bids,24401.0,0.3297
64,ETHBRL,bids,24400.0,0.2078
65,ETHBRL,bids,24392.54,0.0009
66,ETHBRL,bids,24379.0,0.0102
67,ETHBRL,bids,24375.78,0.0008
68,ETHBRL,bids,24371.66,0.0118
69,ETHBRL,bids,24366.46,0.0009
70,ETHBRL,bids,24364.35,0.0012
71,ETHBRL,bids,24363.65,0.0005
72,ETHBRL,bids,24350.0,0.4559
73,ETHBRL,bids,24348.29,0.97
74,ETHBRL,bids,24345.64,0.1
75,ETHBRL,bids,24340.41,0.0009
76,ETHBRL,bids,24339.46,0.0007
77,ETHBRL,bids,24314.39,0.0009
78,ETHBRL,bids,24313.51,0.0008
79,ETHBRL,bids,24310.0,0.7121
80,ETHBRL,bids,24300.0,0.3928
81,ETHBRL,bids,24292.53,0.0012
82,ETHBRL,bids,24290.0,0.0412
83,ETHBRL,bids,24288.4,0.0009
84,ETHBRL,bids,24262.43,0.0009
85,ETHBRL,bids,24252.9,0.0082
86,ETHBRL,bids,24250.76,0.0119
87,ETHBRL,bids,24250.46,0.0005
88,ETHBRL,bids,24250.12,0.46
89,ETHBRL,bids,24236.5,0.0009
90,ETHBRL,bids,24230.67,0.0008
91,ETHBRL,bids,24229.67,0.0041
92,ETHBRL,bids,24224.13,0.0027
93,ETHBRL,bids,24220.93,0.0012
94,ETHBRL,bids,24210.59,0.0009
95,ETHBRL,bids,24201.0,0.002
96,ETHBRL,bids,24200.0,2.0123
97,ETHBRL,bids,24184.7,0.0009
98,ETHBRL,bids,24184.37,0.0007
99,ETHBRL,bids,24181.99,0.0027
0,ETHBRL,asks,24837.01,1.3195
1,ETHBRL,asks,24837.19,2.0
2,ETHBRL,asks,24837.22,0.0302
3,ETHBRL,asks,24850.9,0.42
4,ETHBRL,asks,24855.82,12.1515
5,ETHBRL,asks,24855.83,0.5958
6,ETHBRL,asks,24857.7,0.87
7,ETHBRL,asks,24863.16,0.0009
8,ETHBRL,asks,24875.05,0.0037
9,ETHBRL,asks,24882.42,0.611
10,ETHBRL,asks,24884.5,1.53
11,ETHBRL,asks,24886.21,0.0005
12,ETHBRL,asks,24889.77,0.0009
13,ETHBRL,asks,24895.28,0.0007
14,ETHBRL,asks,24900.0,0.0005
15,ETHBRL,asks,24910.89,0.4581
16,ETHBRL,asks,24911.16,0.0116
17,ETHBRL,asks,24916.41,0.0009
